userId	geneSymbol	geneName	entrezgene	gLink
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABO	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	https://www.ncbi.nlm.nih.gov/gene/?term=28
ACTG1P15	ACTG1P15	actin gamma 1 pseudogene 15	100418951	https://www.ncbi.nlm.nih.gov/gene/?term=100418951
ADAM20	ADAM20	ADAM metallopeptidase domain 20	8748	https://www.ncbi.nlm.nih.gov/gene/?term=8748
ADGRB1	ADGRB1	adhesion G protein-coupled receptor B1	575	https://www.ncbi.nlm.nih.gov/gene/?term=575
ADGRB3	ADGRB3	adhesion G protein-coupled receptor B3	577	https://www.ncbi.nlm.nih.gov/gene/?term=577
ADRB1	ADRB1	adrenoceptor beta 1	153	https://www.ncbi.nlm.nih.gov/gene/?term=153
ADRB2	ADRB2	adrenoceptor beta 2	154	https://www.ncbi.nlm.nih.gov/gene/?term=154
AEBP1	AEBP1	AE binding protein 1	165	https://www.ncbi.nlm.nih.gov/gene/?term=165
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016	https://www.ncbi.nlm.nih.gov/gene/?term=57016
AKR1C2	AKR1C2	aldo-keto reductase family 1 member C2	1646	https://www.ncbi.nlm.nih.gov/gene/?term=1646
ALDH1L1-AS2	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	100862662	https://www.ncbi.nlm.nih.gov/gene/?term=100862662
ALDH1L2	ALDH1L2	aldehyde dehydrogenase 1 family member L2	160428	https://www.ncbi.nlm.nih.gov/gene/?term=160428
ALDH3A1	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	https://www.ncbi.nlm.nih.gov/gene/?term=218
ALDH5A1	ALDH5A1	aldehyde dehydrogenase 5 family member A1	7915	https://www.ncbi.nlm.nih.gov/gene/?term=7915
ALPK2	ALPK2	alpha kinase 2	115701	https://www.ncbi.nlm.nih.gov/gene/?term=115701
ANGPTL2	ANGPTL2	angiopoietin like 2	23452	https://www.ncbi.nlm.nih.gov/gene/?term=23452
ANKRD22	ANKRD22	ankyrin repeat domain 22	118932	https://www.ncbi.nlm.nih.gov/gene/?term=118932
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
ANO1	ANO1	anoctamin 1	55107	https://www.ncbi.nlm.nih.gov/gene/?term=55107
ANO2	ANO2	anoctamin 2	57101	https://www.ncbi.nlm.nih.gov/gene/?term=57101
ANO4	ANO4	anoctamin 4	121601	https://www.ncbi.nlm.nih.gov/gene/?term=121601
AQP11	AQP11	aquaporin 11	282679	https://www.ncbi.nlm.nih.gov/gene/?term=282679
AR	AR	androgen receptor	367	https://www.ncbi.nlm.nih.gov/gene/?term=367
ARHGAP20	ARHGAP20	Rho GTPase activating protein 20	57569	https://www.ncbi.nlm.nih.gov/gene/?term=57569
ARHGEF38	ARHGEF38	Rho guanine nucleotide exchange factor 38	54848	https://www.ncbi.nlm.nih.gov/gene/?term=54848
ARSJ	ARSJ	arylsulfatase family member J	79642	https://www.ncbi.nlm.nih.gov/gene/?term=79642
ASB2	ASB2	ankyrin repeat and SOCS box containing 2	51676	https://www.ncbi.nlm.nih.gov/gene/?term=51676
ASPRV1	ASPRV1	aspartic peptidase retroviral like 1	151516	https://www.ncbi.nlm.nih.gov/gene/?term=151516
ATP6V0D2	ATP6V0D2	ATPase H+ transporting V0 subunit d2	245972	https://www.ncbi.nlm.nih.gov/gene/?term=245972
AUTS2	AUTS2	activator of transcription and developmental regulator AUTS2	26053	https://www.ncbi.nlm.nih.gov/gene/?term=26053
B3GNT7	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	93010	https://www.ncbi.nlm.nih.gov/gene/?term=93010
BARX1	BARX1	BARX homeobox 1	56033	https://www.ncbi.nlm.nih.gov/gene/?term=56033
BBS9	BBS9	Bardet-Biedl syndrome 9	27241	https://www.ncbi.nlm.nih.gov/gene/?term=27241
BCL2A1	BCL2A1	BCL2 related protein A1	597	https://www.ncbi.nlm.nih.gov/gene/?term=597
BCO2	BCO2	beta-carotene oxygenase 2	83875	https://www.ncbi.nlm.nih.gov/gene/?term=83875
BEX1	BEX1	brain expressed X-linked 1	55859	https://www.ncbi.nlm.nih.gov/gene/?term=55859
