userId	geneSymbol	geneName	entrezgene	gLink
A1BG	A1BG	alpha-1-B glycoprotein	1	https://www.ncbi.nlm.nih.gov/gene/?term=1
A1BG-AS1	A1BG-AS1	A1BG antisense RNA 1	503538	https://www.ncbi.nlm.nih.gov/gene/?term=503538
AATBC	AATBC	apoptosis associated transcript in bladder cancer	284837	https://www.ncbi.nlm.nih.gov/gene/?term=284837
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	https://www.ncbi.nlm.nih.gov/gene/?term=24
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	https://www.ncbi.nlm.nih.gov/gene/?term=225
ABHD12B	ABHD12B	abhydrolase domain containing 12B	145447	https://www.ncbi.nlm.nih.gov/gene/?term=145447
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABLIM2	ABLIM2	actin binding LIM protein family member 2	84448	https://www.ncbi.nlm.nih.gov/gene/?term=84448
ACAN	ACAN	aggrecan	176	https://www.ncbi.nlm.nih.gov/gene/?term=176
ACE2	ACE2	angiotensin converting enzyme 2	59272	https://www.ncbi.nlm.nih.gov/gene/?term=59272
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	https://www.ncbi.nlm.nih.gov/gene/?term=54
ACP7	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	https://www.ncbi.nlm.nih.gov/gene/?term=390928
ACRV1	ACRV1	acrosomal vesicle protein 1	56	https://www.ncbi.nlm.nih.gov/gene/?term=56
ACSM5	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	https://www.ncbi.nlm.nih.gov/gene/?term=54988
ACTA1	ACTA1	actin alpha 1, skeletal muscle	58	https://www.ncbi.nlm.nih.gov/gene/?term=58
ACTBL2	ACTBL2	actin beta like 2	345651	https://www.ncbi.nlm.nih.gov/gene/?term=345651
ACTN3	ACTN3	actinin alpha 3	89	https://www.ncbi.nlm.nih.gov/gene/?term=89
ADAM12	ADAM12	ADAM metallopeptidase domain 12	8038	https://www.ncbi.nlm.nih.gov/gene/?term=8038
ADAM19	ADAM19	ADAM metallopeptidase domain 19	8728	https://www.ncbi.nlm.nih.gov/gene/?term=8728
ADAM22	ADAM22	ADAM metallopeptidase domain 22	53616	https://www.ncbi.nlm.nih.gov/gene/?term=53616
ADAM33	ADAM33	ADAM metallopeptidase domain 33	80332	https://www.ncbi.nlm.nih.gov/gene/?term=80332
ADAM6	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	8755	https://www.ncbi.nlm.nih.gov/gene/?term=8755
ADAMDEC1	ADAMDEC1	ADAM like decysin 1	27299	https://www.ncbi.nlm.nih.gov/gene/?term=27299
ADAMTS10	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	81794	https://www.ncbi.nlm.nih.gov/gene/?term=81794
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792	https://www.ncbi.nlm.nih.gov/gene/?term=81792
ADAMTS14	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	140766	https://www.ncbi.nlm.nih.gov/gene/?term=140766
ADAMTS16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690	https://www.ncbi.nlm.nih.gov/gene/?term=170690
ADAMTS18	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692	https://www.ncbi.nlm.nih.gov/gene/?term=170692
