NAME	TITLE	SCORE	
ERVH48-1		28.663355	
POU3F2		17.853077	
C8orf46		17.010864	
SLC12A3		16.47402	
ANO4		16.124155	
TSKS		13.1495	
CDH12		12.207381	
PVRL3-AS1		10.736756	
HAVCR2		10.514954	
RP11-180O5.2		10.382422	
SLC27A6		9.929343	
ITIH5		9.787849	
DDX3Y		9.404303	
EPB41L3		9.30173	
NPPB		8.924859	
PIP5K1B		8.30313	
ECHDC3		8.170355	
HAVCR1		7.684496	
RP11-553A10.1		7.6446443	
PCDH17		7.2973933	
ALPK2		7.253796	
KCNQ3		7.157604	
ALDH1L1-AS2		6.9842257	
DKK2		6.585585	
HLA-DOA		6.5710235	
ZNF432		6.2548614	
PCDHB17P		6.1046333	
MXRA8		5.9733596	
KANK4		5.9438004	
TLR7		5.8092966	
CADM2		5.5841966	
SCN5A		5.5232596	
RP11-1069G10.1		4.976581	
OXTR		4.874142	
TXLNGY		4.7236557	
TAS1R3		4.6338763	
GFRA1		4.6196537	
ST6GAL2		4.5834336	
TNFRSF10C		4.5765333	
C4BPB		4.529154	
PSG11		4.5287237	
UBL3		4.501631	
CTD-2311M21.2		4.460041	
ZFY		4.4122996	
FOXG1-AS1		4.3667536	
PLEKHA7		4.2983193	
PCDH10		4.291745	
RPS4Y1		4.2531896	
VIT		4.149304	
ENSG00000235565		4.127445	
KDM5D		4.0919414	
MICD		4.0685177	
AC124944.5		4.031555	
SH2D1B		4.0119596	
MYO7A		3.9701853	
ACTG1P15		3.9433532	
SLCO2A1		3.8605788	
ZNF350-AS1		3.8114445	
LINC00456		3.7951133	
HSD3B1		3.7602816	
HIST1H1PS1		3.7543852	
IGFL2		3.5799446	
DDX60L		3.5432734	
LGR5		3.5171256	
TMC3		3.515661	
SKIV2L		3.3078003	
UTY		3.2985506	
CTD-2562J17.7		3.2492437	
PADI4		3.12761	
ADGRB3		2.8965175	
PRPS1		2.788956	
ZNF431		2.7263293	
VARS		2.722346	
OLR1		2.6141217	
MYOZ1		2.6001213	
AQP11		2.5932584	
NOS3		2.5446193	
PPT2		2.542843	
NOSTRIN		2.4068873	
MBOAT7		2.319611	
PTGER3		2.238893	
C6orf62		2.1329956	
LYPD6B		2.1198046	
ALDH5A1		2.0900652	
MRS2		2.087435	
ARHGAP20		2.0707204	
RUNDC3B		2.0676107	
RP11-455F5.3		2.0074763	
PCDHB6		1.8857081	
EPHA10		1.8164036	
PP14571		1.7173206	
MAGEB2		1.6326052	
SELPLG		1.6217862	
SIGLEC16		1.6159135	
GLRX		1.6086631	
KISS1		1.6008009	
BBS9		1.5855188	
PSG2		1.5574545	
CDYL		1.556712	
CARD9		1.5500921	
PSG9		1.4926912	
HAND1		1.4907647	
ANO2		1.4535218	
LSM2		1.4419825	
LINC00607		1.438949	
FARS2		1.413186	
RGS7BP		1.3704207	
TMEM14B		1.3363273	
RP11-867G2.6		1.2256842	
FIZ1		1.2185299	
STXBP6		1.1822805	
ZNF114		1.1818389	
VLDLR		1.1753651	
ZNF663P		1.1264404	
HIST1H2BC		1.1074823	
RPP40		1.0903559	
MGARP		1.0371141	
RP11-346D19.1		1.0274285	
LRRC37A6P		1.0064626	
UGT3A2		0.991919	
DACT1		0.9796253	
GMDS		0.9489274	
GATA2		0.94847834	
RP11-10C24.1		0.9477735	
RP1-124C6.1		0.94604117	
ZNF784		0.9418822	
HSPBP1		0.92498213	
CTD-2589M5.5		0.909347	
ANO10		0.9055296	
ANKFN1		0.89023435	
ROPN1B		0.87344384	
CGB3		0.87267375	
CSF1R		0.8507385	
PASD1		0.8440408	
CSNK2B		0.8293615	
C9orf66		0.8216107	
TTTY15		0.8004826	
FAM110B		0.7939619	
AL162759.1		0.7906635	
KAZN		0.7852401	
RP11-43F13.3		0.7615428	
ENSG00000255735		0.75408125	
DPP4		0.74004143	
ART4		0.73043245	
CFAP47		0.7248964	
RP1-140K8.5		0.71916425	
LINC01021		0.7173301	
RP13-254B10.1		0.7022827	
TPMT		0.68238807	
IGHG1		0.68107265	
USP9Y		0.6808857	
EIF1AY		0.6772686	
DIO2		0.6746214	
ZNF841		0.664609	
AIM1L		0.6575003	
TMEM200C		0.6465661	
RNF182		0.6418817	
PEBP1		0.6414978	
LINC01602		0.619485	
AKT1S1		0.60686237	
ZPLD1		0.60083956	
ARHGAP28		0.5931738	
ALG1L5P		0.59200054	
CTIF		0.57142925	
UBE2QL1		0.5702835	
PRKY		0.5594693	
DAGLB		0.55460477	
TAP2		0.5525086	
BAG6		0.53173625	
STAT1		0.5294932	
EPN1		0.5264324	
C5orf17		0.51517206	
DGKB		0.51485616	
PRRC2A		0.4965513	
ZNF649		0.48656923	
C4orf26		0.47370017	
SERPINE1		0.4629227	
TDG		0.46235064	
HACD1		0.44842032	
KRT34		0.44561625	
CRYZ		0.4436634	
UBE2J1		0.42918438	
CNTNAP4		0.42853415	
CTC-471J1.2		0.42349806	
ACKR2		0.4230871	
SAMD11		0.421564	
RP11-424G14.1		0.4202743	
PAX3		0.40140152	
SYDE2		0.39975917	
TMEM52B		0.39717534	
LINC00664		0.39341146	
LHX5		0.37535337	
DCAF4L1		0.37216032	
RIMS2		0.36713982	
ANKRD2		0.36646712	
NRK		0.36585486	
BTN2A1		0.3609827	
ALDH1L1		0.35807142	
MAP1LC3C		0.35120383	
PCDHA4		0.34851593	
FBP1		0.3476239	
MXD4		0.3427633	
ERCC2		0.33837625	
TMEM14C		0.3353685	
HNRNPA1P33		0.32921702	
HIST1H1E		0.3176769	
TFAP2A		0.31732574	
MIR519A2		0.30951247	
TUBA3E		0.3073225	
PIWIL2		0.30613133	
FAM109A		0.3014727	
AC139099.5		0.30114913	
AK5		0.30093375	
MAP6D1		0.29874635	
NRXN3		0.2964909	
BPHL		0.2964837	
ATF6B		0.28429866	
THRB-IT1		0.28309485	
ENSG00000254184		0.2825343	
AGAP3		0.28023723	
RHOU		0.27951688	
TNXB		0.27564165	
ZNF491		0.2732806	
DAPK1		0.27079174	
LENG1		0.26883298	
MAEA		0.26819614	
GGACT		0.26610237	
SPTLC2		0.2645717	
MYO16		0.26437974	
LRP2		0.26411176	
PINK1		0.26159295	
SCN9A		0.25924894	
NEU1		0.25794208	
LINC-ROR		0.25684512	
RP11-295G20.2		0.25295135	
ZNF571-AS1		0.24740967	
CYP2J2		0.24737792	
FBN2		0.24310172	
SLC26A1		0.24291454	
ICOSLG		0.24210238	
ENSG00000268885		0.24064362	
HIST1H3D		0.23904173	
NLGN4Y		0.23561107	
SLC1A7		0.23401351	
DGKZ		0.2338334	
MOB3B		0.22845608	
NECAB3		0.22741869	
PCDHGB4		0.22709884	
DGKQ		0.22348471	
FN1		0.22284043	
MROH1		0.2228268	
CTD-2228K2.7		0.22100456	
CARS2		0.22026575	
